Alabama
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Autauga         3     4     4     4     3     3     3
Baldwin         3     3     3     3     4     4     4
Barbour         0     0     1     1     1     1     1
Bibb            0     0     0     0     0     0     0
Blount          0     0     0     0     0     0     0
Bullock         0     0     0     0     0     0     0
Butler          1     1     1     1     1     1     1
Calhoun         3     3     3     3     3     3     3
Chambers       18    19    19    21    21    21    21
Cherokee        0     0     0     0     0     0     0
Chilton         1     1     1     1     1     1     1
Choctaw         0     0     0     0     0     0     0
Clarke          1     1     1     1     1     1     1
Clay            1     1     1     1     1     1     1
Cleburne        1     1     1     1     1     1     1
Coffee          0     0     0     0     0     0     0
Colbert         2     2     2     2     2     2     2
Conecuh         0     0     0     0     0     0     0
Coosa           1     1     1     1     1     1     1
Covington       1     1     1     1     1     1     1
Crenshaw        0     0     0     0     0     0     0
Cullman         0     0     0     0     0     0     0
Dale            0     0     0     0     0     0     0
Dallas          3     3     3     3     3     3     3
DeKalb          2     2     2     2     2     2     2
Elmore          1     1     1     2     2     2     2
Escambia        1     1     1     1     2     2     2
Etowah          8     8     8     9    10    10    10
Fayette         0     0     0     0     0     0     0
Franklin        0     0     0     0     0     0     0
Geneva          0     0     0     0     0     0     0
Greene          0     1     1     1     1     1     1
Hale            2     2     2     2     2     2     2
Henry           1     1     1     1     1     1     1
Houston         3     3     3     4     4     4     4
Jackson         2     2     2     2     2     2     2
Jefferson      36    41    43    46    48    48    48
Lamar           0     0     0     0     0     0     0
Lauderdale      2     2     2     2     2     2     2
Lawrence        0     0     0     0     0     0     0
Lee            24    25    28    29    29    28    28
Limestone       0     0     0     0     0     0     0
Lowndes         1     1     1     1     1     1     1
Macon           2     2     2     2     2     2     2
Madison         4     4     4     4     4     4     4
Marengo         3     3     3     3     3     3     3
Marion          6     6     6     6     6     6     6
Marshall        5     6     6     6     7     7     7
Mobile         43    46    51    55    61    61    62
Monroe          1     1     1     1     1     1     1
Montgomery      5     5     6     6     6     6     7
Morgan          0     0     0     0     0     0     0
Perry           0     0     0     0     0     0     0
Pickens         1     1     1     1     2     2     2
Pike            0     0     0     0     0     0     0
Randolph        4     4     4     4     4     4     4
Russell         0     0     0     0     0     0     0
Shelby          9    10    11    12    13    13    13
St. Clair       0     0     0     0     0     0     0
Sumter          2     2     2     2     3     3     3
Talladega       2     2     2     2     2     2     2
Tallapoosa     17    17    17    18    18    18    18
Tuscaloosa      0     0     1     1     2     2     2
Unassigned      0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
Walker          0     0     0     0     0     0     0
Washington      1     1     1     1     2     2     2
Wilcox          1     1     1     2     3     3     3
Winston         0     0     0     0     0     0     0
totals        228   242   256   272   289   288   290

Alaska
date                    4/28  4/29  4/30  5/01  5/02  5/03  5/04
Aleutians East             0     0     0     0     0     0     0
Aleutians West             0     0     0     0     0     0     0
Anchorage                  4     4     4     4     4     4     4
Bethel                     0     0     0     0     0     0     0
Bristol Bay                0     0     0     0     0     0     0
Denali                     0     0     0     0     0     0     0
Dillingham                 0     0     0     0     0     0     0
Fairbanks North Star       1     1     1     1     2     2     2
Haines                     0     0     0     0     0     0     0
Hoonah-Angoon              0     0     0     0     0     0     0
Juneau                     0     0     0     0     0     0     0
Kenai Peninsula            0     0     0     0     0     0     0
Kenai Peninsula            0     0     0     0     1     1     1
Ketchikan Gateway          0     0     0     0     0     0     0
Kodiak Island              0     0     0     0     0     0     0
Kusilvak                   0     0     0     0     0     0     0
Lake and Peninsula         0     0     0     0     0     0     0
Matanuska-Susitna          0     0     0     0     1     1     1
Matanuska-Susitna          0     0     0     0     0     0     0
Nome                       0     0     0     0     0     0     0
North Slope                0     0     0     0     0     0     0
Northwest Arctic           0     0     0     0     0     0     0
Petersburg                 0     0     0     0     1     1     1
Prince of Wales-Hyder      0     0     0     0     0     0     0
Sitka                      0     0     0     0     0     0     0
Skagway                    0     0     0     0     0     0     0
Soldotna                   0     0     0     0     0     0     0
Southeast Fairbanks        0     0     0     0     0     0     0
Sterling                   0     0     0     0     0     0     0
Unassigned                 4     4     4     4     0     0     0
Unassigned                 0     0     0     0     0     0     0
Valdez-Cordova             0     0     0     0     0     0     0
Wrangell                   0     0     0     0     0     0     0
Yakutat                    0     0     0     0     0     0     0
Yukon-Koyukuk              0     0     0     0     0     0     0
totals                     9     9     9     9     9     9     9

Arizona
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Apache          5     5     5     6     6     6     6
Cochise         0     0     0     0     0     0     0
Coconino       38    38    42    42    44    44    44
Gila            0     0     0     0     0     0     0
Graham          0     0     0     0     0     0     0
Greenlee        0     0     0     0     0     0     0
La Paz          1     1     1     1     1     1     1
Maricopa      122   122   140   145   147   147   147
Mohave          4     4     7    10    13    13    13
